!!!ObjTables DocumentName='' Name='' ObjTablesVersion='1.0' Date='2021-3-30' schema='SBtab' objTablesVersion='1.0.1'
!!ObjTables TableID='compartment' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compartment' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compartment' name='Compartment' objTablesVersion='1.0.1'
!ID	!Name	!Size	!Unit	!SBOTerm
c	cytosol	nan		
e	extracellular space	nan		
p	periplasm	nan		

!!ObjTables TableID='compound' Document='Escherichia_coli_iCH360_wo_exchange' TableType='Compound' SBtabVersion='1.0' schema='SBtab' type='Data' tableFormat='row' class='Compound' name='Compound' objTablesVersion='1.0.1'
!ID	!Name	!Location	!IsConstant	!SBOTerm	!InitialConcentration	!hasOnlySubstanceUnits	!SBML:fbc:chemicalFormula	!SBML:fbc:charge	!Identifiers:bigg_metabolite	!Identifiers:biocyc	!Identifiers:obo.chebi	!Identifiers:hmdb	!Identifiers:inchi_key	!Identifiers:kegg_compound	!Identifiers:metanetx_chemical	!Identifiers:reactome_compound	!Identifiers:sabiork	!Identifiers:seed_compound	!Identifiers:envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound	!Identifiers:envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound	!Identifiers:kegg_drug	!Identifiers:envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound	!Identifiers:lipidmaps	!Identifiers:envipath/5882df9c-dae1-4d80-a40e-db4724271456/compound	!Identifiers:slm	!Identifiers:kegg_glycan
M_toct2eACP_c	Trans-Oct-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C19H33N2O8PRS	-1	toct2eACP	META:2-Octenoyl-ACPs				C05751	MNXM23766			cpd11471					LMFA07060009			
M_ump_c	UMP C9H11N2O9P	c	False	SBO:0000247	nan	False	C9H11N2O9P	-2	ump	META:UMP	CHEBI:46362	HMDB00288	DJJCXFVJDGTHFX-XVFCMESISA-L	C00105	MNXM80	109402	25061	cpd00091								
M_hdceap_c	Hexadecanoyl-phosphate (n-C16:1)	c	False	SBO:0000247	nan	False	C16H30O5P	-1	hdceap						MNXM147482											
M_3pg_c	3-Phospho-D-glycerate	c	False	SBO:0000247	nan	False	C3H4O7P	-3	3pg	META:G3P	CHEBI:12987	HMDB60180	OSJPPGNTCRNQQC-UWTATZPHSA-K	C00197	MNXM126	29728	21216	cpd00169								
M_ctp_c	CTP C9H12N3O14P3	c	False	SBO:0000247	nan	False	C9H12N3O14P3	-4	ctp	META:CTP	CHEBI:17677	HMDB00082	PCDQPRRSZKQHHS-XVFCMESISA-J	C00063	MNXM63	110577	1286	cpd00052								
M_dadp_c	DADP C10H12N5O9P2	c	False	SBO:0000247	nan	False	C10H12N5O9P2	-3	dadp	META:DADP	CHEBI:14067	HMDB01508	DAEAPNUQQAICNR-RRKCRQDMSA-K	C00206	MNXM374	500087	1314	cpd00177								
M_xu5p__D_c	D-Xylulose 5-phosphate	c	False	SBO:0000247	nan	False	C5H9O8P	-2	xu5p__D	META:XYLULOSE-5-PHOSPHATE	CHEBI:21121	HMDB00868	FNZLKVNUWIIPSJ-RFZPGFLSSA-L	C00231	MNXM186	29790	1317	cpd00198								
M_aspsa_c	L-Aspartate 4-semialdehyde	c	False	SBO:0000247	nan	False	C4H7NO3	0	aspsa	META:L-ASPARTATE-SEMIALDEHYDE	CHEBI:537519	HMDB12249	HOSWPDPVFBCLSY-VKHMYHEASA-N	C00441	MNXM361		2052	cpd00346								
M_the2eACP_c	Trans-Hex-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C17H29N2O8PRS	-1	the2eACP	META:Hex-2-enoyl-ACPs	CHEBI:10727			C05748	MNXM24502			cpd11473					LMFA07060007			
M_t3c9palmeACP_c	Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C27H47N2O8PRS	-1	t3c9palmeACP						MNXM5961			cpd15571								
M_accoa_c	Acetyl-CoA	c	False	SBO:0000247	nan	False	C23H34N7O17P3S	-4	accoa	META:ACETYL-COA	CHEBI:40470	HMDB01206	ZSLZBFCDCINBPY-ZSJPKINUSA-J	C00024	MNXM21	113559	1276	cpd00022		57bd5e24-9d14-4b91-bc60-64c8ea6c2d11			LMFA07050281		000000297	
M_arg__L_c	L-Arginine	c	False	SBO:0000247	nan	False	C6H15N4O2	1	arg__L	META:ARG	CHEBI:133495	HMDB00517	ODKSFYDXXFIFQN-BYPYZUCNSA-O	C00062	MNXM70	113530	80	cpd19021			D02982					
M_26dap_LL_c	LL-2,6-Diaminoheptanedioate	c	False	SBO:0000247	nan	False	C7H14N2O4	0	26dap_LL	META:LL-DIAMINOPIMELATE	CHEBI:47031	HMDB01370	GMKMEZVLHJARHF-WHFBIAKZSA-N	C00666	MNXM644		5171	cpd00504					LMFA01170102			
M_asp__L_c	L-Aspartate	c	False	SBO:0000247	nan	False	C4H6NO4	-1	asp__L	META:L-ASPARTATE	CHEBI:40900	HMDB00191	CKLJMWTZIZZHCS-REOHCLBHSA-M	C00049	MNXM42	29448	71	cpd19181		4b0cdcb0-137a-4ddc-8e5c-2b55ea238c15	D00013					
M_acg5sa_c	N-Acetyl-L-glutamate 5-semialdehyde	c	False	SBO:0000247	nan	False	C7H10NO4	-1	acg5sa	META:CPD-469	CHEBI:21551	HMDB06488	BCPSFKBPHHBDAI-LURJTMIESA-M	C01250	MNXM1062		2267	cpd00918								
M_hexACP_c	Hexanoyl-ACP (n-C6:0ACP)	c	False	SBO:0000247	nan	False	C17H31N2O8PRS	-1	hexACP						MNXM90722											
M_skm_c	Shikimate	c	False	SBO:0000247	nan	False	C7H9O5	-1	skm	META:SHIKIMATE	CHEBI:36208	HMDB03070	JXOHGGNKMLTUBP-HSUXUTPPSA-M	C00493	MNXM602	964932	5117	cpd00383								
M_imp_c	IMP C10H11N4O8P	c	False	SBO:0000247	nan	False	C10H11N4O8P	-2	imp	META:IMP	CHEBI:13372	HMDB00175	GRSZFWQUAKGDAV-KQYNXXCUSA-L	C00130	MNXM125	29602	1306	cpd00114								
M_o2_c	O2 O2	c	False	SBO:0000247	nan	False	O2	0	o2	META:OXYGEN-MOLECULE	CHEBI:10745	HMDB01377	MYMOFIZGZYHOMD-UHFFFAOYSA-N	C00007	MNXM4	1236709	1264	cpd00007			D00003			d5d12248-82d3-4cf3-b7d0-2e3d096768b4		
M_ocdcea_c	Octadecenoate (n-C18:1)	c	False	SBO:0000247	nan	False	C18H33O2	-1	ocdcea	META:OLEATE-CPD	CHEBI:44741	HMDB02066	ZQPPMHVWECSIRJ-KTKRTIGZSA-M	C00712	MNXM306		28897	cpd00536			D02315		LMFA01030002		000000418	
M_h_p	H+	p	False	SBO:0000247	nan	False	H	1	h	META:PROTON	CHEBI:10744	HMDB59597	GPRLSGONYQIRFK-UHFFFAOYSA-N	C00080	MNXM1	372511	39	cpd00067								
M_succ_p	Succinate	p	False	SBO:0000247	nan	False	C4H4O4	-2	succ	META:SUC	CHEBI:30031	HMDB00254	KDYFGRWQOYBRFD-UHFFFAOYSA-L	C00042	MNXM25	113536	1924	cpd00036	600b74d3-8fe5-426d-bedf-291175bd23e4	8fdfd425-4343-4bf2-8427-b2ffa57fdbd7		cc98aff0-7f64-4db4-9d59-de961c228496	LMFA01170043	6377658b-03f6-4fed-a5bf-ff0f2389b693		
M_phpyr_c	Phenylpyruvate	c	False	SBO:0000247	nan	False	C9H7O3	-1	phpyr	META:PHENYL-PYRUVATE	CHEBI:12821	HMDB01237	BTNMPGBKDVTSJY-UHFFFAOYSA-M	C00166	MNXM162242		1957	cpd00143	1a2c1780-502b-43c6-8d45-759953ea5e07							
M_fru_e	D-Fructose	e	False	SBO:0000247	nan	False	C6H12O6	0	fru	META:FRU	CHEBI:48095	HMDB62538	RFSUNEUAIZKAJO-VRPWFDPXSA-N	C00095	MNXM175	29532	1464	cpd27040			D00114					
M_pyr_e	Pyruvate	e	False	SBO:0000247	nan	False	C3H3O3	-1	pyr	META:PYRUVATE	CHEBI:15361	HMDB00243	LCTONWCANYUPML-UHFFFAOYSA-M	C00022	MNXM23	389680	33	cpd00020	ccc99777-54dc-42d4-a97e-009b780d3905	dc01020e-8c7e-4087-9f56-cf8c962b7437			LMFA01060077			
M_5mthf_c	5-Methyltetrahydrofolate	c	False	SBO:0000247	nan	False	C20H24N7O6	-1	5mthf	META:5-METHYL-THF	CHEBI:15641	HMDB01396	ZNOVTXRBGFNYRX-STQMWFEESA-L	C00440	MNXM318	200665	2051	cpd00345			D09353					
M_nad_c	Nicotinamide adenine dinucleotide	c	False	SBO:0000247	nan	False	C21H26N7O14P2	-1	nad	META:NAD	CHEBI:29867	HMDB00902	BAWFJGJZGIEFAR-NNYOXOHSSA-M	C00003	MNXM8	29360	37	cpd00003			D00002					
M_tdeACP_c	Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	c	False	SBO:0000247	nan	False	C25H45N2O8PRS	-1	tdeACP						MNXM162426											
M_3ocvac11eACP_c	3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C29H51N2O9PRS	-1	3ocvac11eACP						MNXM6840			cpd15376								
M_3hoctaACP_c	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C29H55N2O9PRS	-1	3hoctaACP					C16220	MNXM6417			cpd15371								
M_ocdca_c	Octadecanoate (n-C18:0)	c	False	SBO:0000247	nan	False	C18H35O2	-1	ocdca	META:STEARIC_ACID	CHEBI:28842	HMDB00827	QIQXTHQIDYTFRH-UHFFFAOYSA-M	C01530	MNXM236	428198	20032	cpd01080			D00119		LMFA01010047	c0fae385-4844-4700-ba7a-96b6726ed216	000000826	
M_adp_c	ADP C10H12N5O10P2	c	False	SBO:0000247	nan	False	C10H12N5O10P2	-3	adp	META:ADP	CHEBI:13222	HMDB01341	XTWYTFMLZFPYCI-KQYNXXCUSA-K	C00008	MNXM7	113582	35	cpd00008								G11113
M_mal__L_c	L-Malate	c	False	SBO:0000247	nan	False	C4H4O5	-2	mal__L	META:MAL	CHEBI:11066	HMDB00156	BJEPYKJPYRNKOW-REOHCLBHSA-L	C00149	MNXM98	113544	1918	cpd00130								
M_g3p_c	Glyceraldehyde 3-phosphate	c	False	SBO:0000247	nan	False	C3H5O6P	-2	g3p	META:GAP	CHEBI:29052	HMDB01112	LXJXRIRHZLFYRP-VKHMYHEASA-L	C00118	MNXM74	29578	1687	cpd19005								
M_etoh_c	Ethanol	c	False	SBO:0000247	nan	False	C2H6O	0	etoh	META:ETOH	CHEBI:14222	HMDB00108	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C00469	MNXM303	30203	56	cpd00363	56e18a05-c059-433a-94f6-0e26c01b010f	9fb1fbdf-101b-4b82-a596-d2f52c870e4f	D04855			f89efe7c-1a6a-4d21-b99c-e3e1070a8062		
M_so3_c	Sulfite	c	False	SBO:0000247	nan	False	O3S	-2	so3	META:SO3	CHEBI:33543	HMDB00240	LSNNMFCWUKXFEE-UHFFFAOYSA-L	C00094	MNXM105630		3059	cpd00081		2bf998e0-031f-4353-bbd0-d9c0af36460e		0382072e-fc0c-41a7-be8d-fce140ecf836				
M_met__L_c	L-Methionine	c	False	SBO:0000247	nan	False	C5H11NO2S	0	met__L	META:MET	CHEBI:43990	HMDB33951	FFEARJCKVFRZRR-BYPYZUCNSA-N	C00073	MNXM61	174390	2315	cpd30746		44a61812-39ff-48f9-bf09-8398e8723d5e	D00019					
M_aicar_c	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	c	False	SBO:0000247	nan	False	C9H13N4O8P	-2	aicar	META:AICAR	CHEBI:18966	HMDB01517	NOTGFIUVDGNKRI-UUOKFMHZSA-L	C04677	MNXM365	111409	1891	cpd02851								
M_5aizc_c	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	c	False	SBO:0000247	nan	False	C9H11N3O9P	-3	5aizc	META:PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE	CHEBI:41336	HMDB62424	XFVULMDJZXYMSG-ZIYNGMLESA-L	C04751	MNXM507	111395		cpd02893								
M_ac_e	Acetate	e	False	SBO:0000247	nan	False	C2H3O2	-1	ac	META:ACET	CHEBI:40486	HMDB00042	QTBSBXVTEAMEQO-UHFFFAOYSA-M	C00033	MNXM26	29416	1278	cpd00029	3e2d750f-df31-4445-9255-163c627e9b4a	b545cabc-8c9e-4b20-8848-efa015b481ea	D00010	d45256fe-61fa-4f5b-bb16-91a3d615e3d8	LMFA01010002	5e4989fc-13d3-45d4-ad57-3be380a9d3c0	000000449	
M_glx_c	Glyoxylate	c	False	SBO:0000247	nan	False	C2H1O3	-1	glx	META:GLYOX	CHEBI:5509	HMDB00119	HHLFWLYXYJOTON-UHFFFAOYSA-M	C00048	MNXM69	389678	1838	cpd00040	43b74f4f-bc8a-4b8b-b587-c97d8e9eed48	cdffdb1a-3322-4cc1-9171-d857bfaa198a		aecbda66-6e98-4c11-aeaf-6a072f4f963c		9dc0aa3b-447a-4b5d-8157-501b036f9626		
M_etoh_e	Ethanol	e	False	SBO:0000247	nan	False	C2H6O	0	etoh	META:ETOH	CHEBI:14222	HMDB00108	LFQSCWFLJHTTHZ-UHFFFAOYSA-N	C00469	MNXM303	30203	56	cpd00363	56e18a05-c059-433a-94f6-0e26c01b010f	9fb1fbdf-101b-4b82-a596-d2f52c870e4f	D04855			f89efe7c-1a6a-4d21-b99c-e3e1070a8062		
M_glcn_p	D-Gluconate	p	False	SBO:0000247	nan	False	C6H11O7	-1	glcn	META:GLUCONATE	CHEBI:42715	HMDB03373	RGHNJXZEOKUKBD-SQOUGZDYSA-M	C00257	MNXM341		1998	cpd00222								
M_air_c	5-amino-1-(5-phospho-D-ribosyl)imidazole	c	False	SBO:0000247	nan	False	C8H12N3O7P	-2	air		CHEBI:58592	HMDB62575	PDACUKOKVHBVHJ-ZRTZXPPTSA-M		MNXM162266											
M_6pgc_c	6-Phospho-D-gluconate	c	False	SBO:0000247	nan	False	C6H10O10P	-3	6pgc	META:CPD-2961	CHEBI:58759	HMDB62800	BIRSGZKFKXLSJQ-SQOUGZDYSA-K	C00345	MNXM325	29996	2024	cpd00284								
M_nh4_c	Ammonium	c	False	SBO:0000247	nan	False	H4N	1	nh4	META:AMMONIA	CHEBI:13407	HMDB41827	QGZKDVFQNNGYKY-UHFFFAOYSA-O	C01342	MNXM15	113561	43	cpd00013	96667bd9-aeae-4e8f-89d3-100d0396af05	41e4c903-407f-49f7-bf6b-0a94d39fa3a7	D02915			27a89bdf-42f7-478f-91d8-e39881581096		
M_tdec2eACP_c	Trans-Dec-2-enoyl-[acyl-carrier protein]	c	False	SBO:0000247	nan	False	C21H37N2O8PRS	-1	tdec2eACP		CHEBI:10724			C05754	MNXM28221			cpd11475					LMFA07060012			
M_hdeACP_c	Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)	c	False	SBO:0000247	nan	False	C27H49N2O8PRS	-1	hdeACP						MNXM89949											
M_pi_c	Phosphate	c	False	SBO:0000247	nan	False	HO4P	-2	pi	META:PHOSPHATE-GROUP	CHEBI:7793	HMDB05947	NBIIXXVUZAFLBC-UHFFFAOYSA-L	C00009	MNXM9	113548	36	cpd00009	aac01fea-4223-49c1-8b12-cd50f11ebfc8	c581b2ce-6238-45de-abc0-60ca8d47ed04	D05467			ad82c39b-2edb-4953-b971-79a2d2ea6e26		
M_argsuc_c	N(omega)-(L-Arginino)succinate	c	False	SBO:0000247	nan	False	C10H17N4O6	-1	argsuc	META:L-ARGININO-SUCCINATE	CHEBI:21475	HMDB01006	KDZOASGQNOPSCU-ZBHICJROSA-M	C03406	MNXM722743	34575	4057	cpd29673								
M_nh4_p	Ammonium	p	False	SBO:0000247	nan	False	H4N	1	nh4	META:AMMONIA	CHEBI:13407	HMDB41827	QGZKDVFQNNGYKY-UHFFFAOYSA-O	C01342	MNXM15	113561	43	cpd00013	96667bd9-aeae-4e8f-89d3-100d0396af05	41e4c903-407f-49f7-bf6b-0a94d39fa3a7	D02915			27a89bdf-42f7-478f-91d8-e39881581096		
