!!SBtab TableID='ParameterData' TableType='Quantity'										
!QuantityType	!Compound	!Reaction	!Unit	!Median	!Mean	!Std	!Lower	!Upper	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
catalytic rate constant geometric mean		R_ACHBS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHAD2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACLS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TRPS2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PSCVT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PFL	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ANS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FRD2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ANPRT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CHORM	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PTAr	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CHORS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IGPS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACKr	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_LEUTAi	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_glcn_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_h_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_gln__L_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_glyc_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_ac_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_akg_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_pyr_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_succ_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_rib__D_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_fum_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_glu__L_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ENO	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FBA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_HCO3E	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IMPC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IMPD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PPS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PGI	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PGK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PGL	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RPE	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHQTi	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IPMD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AIRC3	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TALA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ADSL2r	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TKT1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RNDR1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ALCD2x	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RNDR3	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RNDR4	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TMDS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_glc__D_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHAD1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IPPMIa	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MDH	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FUM	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_fru_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_xyl__D_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_KARA1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_KARA2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_for_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACCOAC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_KAS14	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ARGSS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AGPR	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ICL	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_acald_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLYCL	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_XYLI1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PPC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_G3PT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SADT2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AACPS1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GHMT2r	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHORD2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SDPDS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_lac__D_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_UMPK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CTPS2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NDPK7	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TRPS3	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ADK1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NDPK2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NDPK4	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACODA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ADSS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ASNS2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ASPCT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MCOATA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DAPE	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHDPRy	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_HSK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SDPTA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_THRS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_HSST	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PPNDH	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DTMPK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NDPK1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TRDR	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DDPA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MALS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NADTRHD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_G3PD2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GMPS2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AACPS3	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_P5CR	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_G5SADs	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AKGDH	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ATPPRT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_HISTD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHDPS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IGPDH	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRPPS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRATPP	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLUN	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRMICI	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLUPRT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SERAT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CYSS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_BPNT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PAPSR	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ASPK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ASAD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DAPDC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_OCBT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GARFT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PHETA1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PPND	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRAMPC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLYCK2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACOTA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SULR	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRAGSr	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRFGS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PSERT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AIRC2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GAPD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GND	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_G6PDH2r	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ME2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ARGSL	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CBPS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLU5K	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IPPS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACOATA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACALDtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PSP_L	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ADSK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SUCCt2_2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_HSDy	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CYSTL	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SHSL1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SULabcpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLUtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AKGt2rpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_XYLt2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLYCtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_Htex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_H2Otex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_O2tpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PYRt2rpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_THD2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TKT2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ATPS4rpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CO2tpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GK1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLCNtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLNtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_O2tex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_D_LACtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLCtex_copy1	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FUMt2_2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PItex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CYTBDpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CYTBD2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACALDtpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACt2rpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_METS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_glyc__R_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FRUtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FUMtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRASCSi	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MTHFC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MTHFD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_XYLtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FORtppi	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PYRtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SO4tex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SUCCtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GRXR	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RNDR1b	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RNDR2b	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MALt2_2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NH4tpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NH4tex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RIBabcpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLYCAt2rpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLYCAtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLYCtpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_H2Otpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLNabcpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CO2tex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLUt2rpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACGK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GNK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLUDy	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLCNt2rpp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLCptspp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_h2o_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_HSTPT	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_THDPS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ATPM	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_THRD_L	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ETOHtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RNDR2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHFR	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRAIi	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_mal__L_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TYRTA	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SHKK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_so4_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLUSy	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_OMCDC	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_IG3PS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PDH	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MTHFR2	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_nh4_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DUTPDP	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_NTP5	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FORt2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EX_etoh_e	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_GLNS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ACGS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_SUCOAS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PRAIS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AACPS8	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AACPS9	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AACPS6	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AACPS7	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_HISTP	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_LDH_D	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_KAS15	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_T2DECAI	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_3OAS161	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_DHQS	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EAR161x	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PGCD	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_MALtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_3OAS141	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_3OAR121	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_ADSL1r	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_AICART	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_D_LACt2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RIBtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FRUpts2pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_FORtex	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PFK	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_PGM	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_CYTBO3_4pp	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EAR141x	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EAR181x	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_TPI	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_RPI	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_3OAR120	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_3HAD80	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_3HAD120	1/s	NaN	NaN	NaN	1e-07	10000		
catalytic rate constant geometric mean		R_EAR180x	1/s	NaN	NaN	NaN	1e-07	10000		
