!!SBtab TableID='Homomeric enzymes to polypeptide mapping' TableType='Quantity' TableName='Homomeric enzymes to polypeptide mapping' SBtabVersion='1.0'
!Reaction	!Gene_number	!Gene_name	!pp_per_complex	!pp_mass	!Enzyme_complex_mass	!Unit	!pp_per_complex_source
ASNS1	b0674	asnB	2	62658.28160000023	125316.56320000046	Da	EcoCyc
EAR80y	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR120y	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
3OAR181	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
EAR140x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
3OAS181	b1095	fabF	2	43045.28340000006	86090.56680000012	Da	EcoCyc
3OAR140	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
EAR160y	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
3OAR160	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
EAR100y	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
3OAR141	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
3OAR161	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
EAR121x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
3OAR60	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
3OAR80	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
EAR100x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR120x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR160x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR140y	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
3OAS121	b2323	fabB	2	42612.87280000006	85225.74560000013	Da	EcoCyc
3OAR40	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
3OAR100	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
EAR40x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR60y	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR60x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
EAR80x	b1288	fabI	4	27863.63610000001	111454.54440000004	Da	EcoCyc
3OAR180	b1093	fabG	4	25560.01369999998	102240.05479999993	Da	Davidi et al.
FA160ACPHi	b0404	acpH	1	22960.831899999997	22960.831899999997	Da	EcoCyc
FA120ACPHi	b0404	acpH	1	22960.831899999997	22960.831899999997	Da	EcoCyc
FA80ACPHi	b0404	acpH	1	22960.831899999997	22960.831899999997	Da	EcoCyc
FA140ACPHi	b0404	acpH	1	22960.831899999997	22960.831899999997	Da	EcoCyc
FA100ACPHi	b0404	acpH	1	22960.831899999997	22960.831899999997	Da	EcoCyc
VPAMTr	b3572	avtA	1	46710.69499999998	46710.69499999998	Da	EcoCyc
APH161	b0968	yccX	1	10299.637399999994	10299.637399999994	Da	EcoCyc
APH180	b0968	yccX	1	10299.637399999994	10299.637399999994	Da	EcoCyc
APH181	b0968	yccX	1	10299.637399999994	10299.637399999994	Da	EcoCyc
PItpp	b4020	yjbB	1	59467	59467	Da	EcoCyc
SUCCt1pp	b1206	dauA	1	59428.35610000015	59428.35610000015	Da	EcoCyc
